Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg, Exchange
LM Funding America WT, LMFAW, 0.02, 0.24, 0.02, 0.12, 0.1, 463.38, 54603, 0.47, 0.02, 0.0, 0.0, 0.0, 210.08, NASDAQ Capital
Menlo Therapeutics, MNLO, 20.5, 31.1, 20.5, 28.71, 11.71, 68.88, 5238906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Global
Citius Pharmaceuticals WT, CTXRW, 0.85, 1.38, 0.85, 1.38, 0.53, 62.35, 4765, 1.38, 0.21, 0.0, 0.0, 0.0, 130.0, NASDAQ Capital
Lightbridge, LTBR, 4.6, 4.8, 2.91, 3.41, 1.26, 58.6, 36900749, 4.8, 0.92, 0.0, 0.0, 0.0, 179.51, NASDAQ Capital
Wheeler Real Estate Investment Trust WT, WHLRW, 0.02, 0.03, 0.02, 0.03, 0.01, 50.0, 533, 0.72, 0.01, 0.0, 0.0, 0.0, -12.79, NASDAQ Capital
Key Technology, KTEC, 26.56, 27.45, 26.54, 26.6, 8.84, 49.77, 866320, 27.45, 11.08, 0.0, 0.0, 42.74, 44.33, NASDAQ Global
MannKind, MNKD, 2.77, 4.05, 2.76, 3.8, 1.11, 41.26, 38509014, 6.96, 0.67, 0.0, 0.0, 0.0, 63.79, NASDAQ Global
Oragenics, OGEN, 2.15, 4.1, 2.1, 2.87, 0.78, 37.32, 2882668, 8.5, 0.6, 0.0, 0.0, 0.0, 22.18, NYSE American
Iovance Biotherapeutics, IOVA, 12.7, 14.85, 12.65, 14.65, 3.15, 27.39, 7522932, 14.85, 4.45, 0.0, 0.0, 0.0, 83.13, NASDAQ Global
OpGen, OPGN, 5.07, 6.99, 5.0, 6.57, 1.36, 26.1, 1138982, 32.5, 3.27, 0.0, 0.0, 0.0, 40.69, NASDAQ Capital
Community Health Systems Rt, CYHHZ, 0.01, 0.01, 0.01, 0.01, 0.0, 23.19, 3021072, 0.05, 0.01, 0.0, 0.0, 0.0, 19.72, NASDAQ Global
Global Partner Acquisition WT, GPACW, 0.45, 0.64, 0.45, 0.5, 0.09, 22.22, 265836, 1.28, 0.11, 0.0, 0.0, 0.0, -53.6, NASDAQ Capital
LSI Industries, LYTS, 7.12, 8.25, 7.12, 8.24, 1.45, 21.35, 321629, 10.68, 4.99, 0.2, 2.43, 0.0, 19.77, NASDAQ Global
ClearSign Combustion WT, CLIRW, 0.65, 0.7, 0.65, 0.68, 0.12, 20.92, 5900, 5.0, 0.48, 0.0, 0.0, 0.0, -32.5, NASDAQ Capital
