Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
LM Funding America WT, LMFAW, 0.12, 0.4, 0.12, 0.25, 0.16, 176.89, 41592, 0.47, 0.02, 0.0, 0.0, 0.0, 543.93, NASDAQ Capital
Eastside Distilling WT, EASTW, 0.67, 1.27, 0.67, 1.27, 0.57, 81.45, 65740, 1.27, 0.01, 0.0, 0.0, 0.0, 95.38, NASDAQ Capital
Cascadian Therapeutics, CASC, 9.98, 10.21, 9.95, 10.06, 4.16, 70.51, 21759353, 10.21, 3.18, 0.0, 0.0, 0.0, 171.89, NASDAQ Global
Skyline Medical, SKLN, 0.94, 1.47, 0.94, 1.36, 0.5, 58.14, 21550540, 3.25, 0.83, 0.0, 0.0, 0.0, 34.65, NASDAQ Capital
Atossa Genetics, ATOS, 0.7, 0.85, 0.67, 0.8, 0.26, 48.15, 48117323, 1.85, 0.22, 0.0, 0.0, 0.0, 204.18, NASDAQ Capital
Soligenix WT, SNGXW, 0.59, 0.65, 0.59, 0.65, 0.2, 44.41, 4800, 1.31, 0.21, 0.0, 0.0, 0.0, -19.63, NASDAQ Capital
CM Seven Star Acquisition Rt, CMSSR, 0.3, 0.3, 0.3, 0.3, 0.09, 42.86, 241, 0.4, 0.21, 0.0, 0.0, 0.0, -6.25, NASDAQ Capital
Global Eagle Entertainment, ENT, 2.5, 3.22, 2.42, 2.89, 0.68, 30.77, 3763829, 6.49, 1.72, 0.0, 0.0, 0.0, 26.2, NASDAQ Capital
NeuroMetrix WT, NUROW, 0.07, 0.09, 0.07, 0.09, 0.02, 27.84, 3650, 0.56, 0.02, 0.0, 0.0, 0.0, 136.84, NASDAQ Capital
Shutterfly, SFLY, 62.86, 68.28, 62.82, 68.15, 14.83, 27.81, 13370288, 68.28, 39.76, 0.0, 0.0, 73.28, 36.98, NASDAQ Global
Dynegy Cl A WT, DYN%A, 0.24, 0.24, 0.24, 0.24, 0.05, 26.32, 222, 8.36, 0.11, 0.0, 0.0, 0.0, 26.32, NYSE
Citius Pharmaceuticals WT, CTXRW, 0.96, 1.2, 0.96, 1.2, 0.25, 26.32, 1300, 1.38, 0.21, 0.0, 0.0, 0.0, 100.0, NASDAQ Capital
Check-Cap WT, CHEKW, 0.27, 0.27, 0.27, 0.27, 0.05, 21.95, 1000, 1.61, 0.15, 0.0, 0.0, 0.0, 49.06, NASDAQ Capital
Zafgen, ZFGN, 5.8, 7.1, 5.63, 6.87, 1.2, 21.16, 543148, 7.1, 3.21, 0.0, 0.0, 0.0, 48.7, NASDAQ Global
Heat Biologics, HTBX, 2.83, 3.7, 2.83, 3.4, 0.57, 20.14, 5026434, 12.5, 2.6, 0.0, 0.0, 0.0, -11.2, NASDAQ Capital
Catalyst Biosciences, CBIO, 21.05, 25.8, 21.01, 25.39, 4.12, 19.37, 557600, 27.01, 3.11, 0.0, 0.0, 0.0, 86.14, NASDAQ Capital
Sunesis Pharmaceuticals, SNSS, 4.7, 5.65, 4.68, 5.55, 0.9, 19.35, 382831, 5.65, 1.82, 0.0, 0.0, 0.0, 50.41, NASDAQ Capital
Ply Gem Holdings, PGEM, 21.4, 21.5, 21.4, 21.45, 3.35, 18.51, 5456109, 21.5, 14.55, 0.0, 0.0, 24.38, 15.95, NYSE
National Holdings WT, NHLDW, 1.5, 1.5, 1.5, 1.5, 0.23, 18.11, 4100, 2.6, 0.14, 0.0, 0.0, 0.0, 66.67, NASDAQ Capital
Polymet Mining, PLM, 1.14, 1.34, 1.12, 1.32, 0.2, 17.86, 3895735, 1.34, 0.57, 0.0, 0.0, 0.0, 53.49, NYSE American
iPass, IPAS, 0.5, 0.61, 0.48, 0.58, 0.08, 16.98, 1142020, 1.61, 0.44, 0.0, 0.0, 0.0, 12.52, NASDAQ Global
Eastside Distilling, EAST, 4.48, 5.8, 4.38, 5.05, 0.73, 16.92, 158012, 7.5, 3.35, 0.0, 0.0, 0.0, 25.33, NASDAQ Capital
ADOMANI, ADOM, 1.64, 2.05, 1.64, 1.91, 0.27, 16.46, 2339644, 18.31, 1.62, 0.0, 0.0, 0.0, -56.59, NASDAQ Capital
Kitov Pharma WT, KTOVW, 0.85, 0.85, 0.8, 0.84, 0.11, 15.38, 32376, 1.1, 0.28, 0.0, 0.0, 0.0, 39.2, NASDAQ Capital
