Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
MakeMyTrip, MMYT,28.75,29,27.6,28.2,-0.8,-2.76,402543,40.9,22.4,0,0,0,-5.53, NASDAQ Global,2/15/2018,11:40:00
Pulmatrix, PULM,1.46,1.47,1.4,1.41,-0.04,-2.76,487927,4.75,1.35,0,0,0,0, NASDAQ Global,2/15/2018,11:40:00
ADOMANI, ADOM,1.45,1.45,1.36,1.41,-0.04,-2.76,108428,18.31,1.3,0,0,0,-67.95, NASDAQ Capital,2/15/2018,11:40:00
Urban One Cl D, UONEK,1.8,1.8,1.75,1.75,-0.05,-2.78,7348,3.5,1.35,0,0,0,0, NASDAQ Capital,2/15/2018,11:40:00
Gafisa ADR, GFA,9.96,10.33,9.61,9.74,-0.28,-2.79,198732,22.65,5.92,0,0,0,-22.82, NYSE,2/15/2018,11:40:00
Krystal Biotech, KRYS,9.33,9.33,8.98,9.04,-0.26,-2.82,3366,11.98,8.03,0,0,0,-14.07, NASDAQ Capital,2/15/2018,11:40:00
Foresight Energy, FELP,4.05,4.05,3.85,3.91,-0.11,-2.83,16801,7.39,3.53,0.24,6.2,0,-10.61, NYSE,2/15/2018,11:40:00
Altisource Asset Management, AAMC,65.3,65.3,65.3,65.3,-1.9,-2.83,199,116,52.85,0,0,0,-19.98, NYSE American,2/15/2018,11:40:00
Synergy Pharmaceuticals, SGYP,2.08,2.1,2.01,2.05,-0.06,-2.84,4817416,6.45,1.68,0,0,0,-8.07, NASDAQ Global,2/15/2018,11:40:00
Civeo, CVEO,3.48,3.5,3.31,3.42,-0.1,-2.84,630712,3.81,1.57,0,0,0,25.27, NYSE,2/15/2018,11:40:00
Blueknight Energy Partners G.P., BKEP,5.1,5.25,5.05,5.1,-0.15,-2.86,44775,7.35,4.65,0.58,11.37,0,0, NASDAQ Global,2/15/2018,11:40:00
Innovative Industrial Properties, IIPR,26.15,26.47,25.68,25.83,-0.76,-2.86,114191,36.88,15.45,1,3.87,0,-20.06, NYSE,2/15/2018,11:40:00
Concord Medical Services Holdings ADR, CCM,2.62,2.65,2.59,2.6,-0.08,-2.87,856,4.96,2.56,0,0,0,-21.92, NYSE,2/15/2018,11:40:00
Communications Systems, JCS,3.37,3.51,3.35,3.37,-0.1,-2.88,3828,4.99,3.18,0.16,4.75,0,-5.34, NASDAQ Global,2/15/2018,11:40:00
Pro-Dex, PDEX,6.95,7,6.75,6.75,-0.2,-2.88,8211,8,4.3,0,0,10.71,-0.74, NASDAQ Capital,2/15/2018,11:40:00
Quorum Health, QHC,6.16,6.31,5.92,6.04,-0.18,-2.89,120416,8.83,2.54,0,0,0,-3.21, NYSE,2/15/2018,11:40:00
Bluegreen Vacations, BXG,17.85,18.08,17.39,17.43,-0.52,-2.9,15733,19.89,12.5,0,0,0,-4.55, NYSE,2/15/2018,11:40:00
M I Acquisitions WT, MACQW,0.52,0.52,0.5,0.5,-0.01,-2.9,700,0.67,0.3,0,0,0,41.43, NASDAQ Capital,2/15/2018,11:40:00
Strata Skin Sciences, SSKN,1.34,1.36,1.33,1.34,-0.04,-2.9,16175,5.4,1.06,0,0,0,8.94, NASDAQ Capital,2/15/2018,11:40:00
Jones Energy Cl A, JONE,1.05,1.05,0.99,1,-0.03,-2.91,1047384,3.63,0.73,0,0,0,-9.09, NYSE,2/15/2018,11:40:00
Molina Healthcare, MOH,74.73,75.28,72.83,73.25,-2.21,-2.93,1315391,93.98,42.56,0,0,0,-4.47, NYSE,2/15/2018,11:40:00
QTS Realty Trust Cl A, QTS,45.53,45.78,44.74,44.79,-1.35,-2.93,535330,61.55,43.71,1.56,3.48,109.62,-17.3, NYSE,2/15/2018,11:40:00
Iridex, IRIX,7.06,7.37,6.76,6.93,-0.21,-2.94,76592,16.37,6.76,0,0,0,-9.06, NASDAQ Global,2/15/2018,11:40:00
Saul Centers, BFS,50.53,51.44,49.32,49.56,-1.5,-2.94,37194,66.14,48.17,2.08,4.2,30.51,-19.74, NYSE,2/15/2018,11:40:00
