Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg, Exchange
22nd Century Group,XXII,2.70,2.92,2.65,2.82,0.17,6.42,5233450,3.50,0.81,...,...,... dd,158.72,NYSE American
Acme United,ACU,24.10,24.86,23.99,24.86,0.11,0.44,3213,29.49,20.20,0.44,1.77,17.76,-2.78,NYSE American
Actinium Pharmaceuticals,ATNM,0.74,0.75,0.65,0.69,-0.01,-1.43,2375734,1.72,0.54,...,...,... dd,-21.14,NYSE American
Adams Resources&Energy,AE,42.27,43.59,42.27,43.45,0.35,0.81,3373,50.59,32.80,0.88,2.03,... dd,9.58,NYSE American
AeroCentury,ACY,14.60,14.85,14.50,14.80,0.35,2.42,3267,16.10,8.95,...,...,16.44,56.61,NYSE American
Air Industries Group,AIRI,1.35,1.35,1.33,1.33,-0.06,-4.32,52603,4.60,1.15,0.60,45.11,... dd,-57.78,NYSE American
Alexco Resource,AXU,1.32,1.32,1.26,1.26,-0.05,-3.82,370688,2.04,1.10,...,...,... dd,-6.67,NYSE American
Alio Gold,ALO,3.00,3.04,2.90,3.01,0.01,0.33,130642,6.06,2.70,...,...,4.85,-3.68,NYSE American
Almaden Minerals,AAU,0.76,0.93,0.76,0.87,0.11,13.87,994490,1.75,0.71,...,...,... dd,-10.20,NYSE American
Alpha Pro Tech,APT,4.00,4.05,3.85,3.90,-0.15,-3.70,33116,4.25,2.55,...,...,18.57,11.43,NYSE American
Altisource Asset Management,AAMC,73.00,73.00,73.00,73.00,-0.05,-0.07,682,116.00,39.70,...,...,... dd,36.45,NYSE American
AMCON Distributing,DIT,92.00,92.25,89.10,89.10,-2.50,-2.73,1308,122.90,85.80,0.72,0.81,20.87,-22.72,NYSE American
American Lorain,ALN,0.20,0.21,0.18,0.20,-0.02,-9.09,155391,0.66,0.18,...,...,...,-62.96,NYSE American
American Shared Hospital Services,AMS,2.50,2.55,2.50,2.55,0.01,0.59,6448,5.00,2.50,...,...,15.00,-23.88,NYSE American
Americas Silver,USAS,3.41,3.41,3.29,3.30,-0.11,-3.23,35818,5.04,2.24,...,...,... dd,31.77,NYSE American
Ampio Pharmaceuticals,AMPE,1.55,1.66,1.49,1.61,0.05,3.21,599608,2.20,0.38,...,...,... dd,78.85,NYSE American
Ampliphi Biosciences,APHB,1.06,1.07,1.01,1.06,0.01,0.95,87183,6.80,0.67,...,...,... dd,-75.91,NYSE American
Asanko Gold,AKG,0.53,0.54,0.50,0.51,...,0.55,2145847,3.90,0.50,...,...,22.09,-83.18,NYSE American
Ashford,AINC,88.00,88.00,88.00,88.00,4.90,5.90,450,111.00,42.00,...,...,... dd,103.99,NYSE American
Asterias Biotherapeutics,AST,2.05,2.10,2.00,2.05,0.05,2.50,209324,5.00,1.95,...,...,... dd,-55.43,NYSE American
Auryn Resources,AUG,1.37,1.38,1.32,1.37,-0.03,-2.14,153629,3.00,1.32,...,...,... dd,-38.13,NYSE American
Avalon Holdings,AWX,2.13,2.15,2.13,2.15,-0.04,-1.73,1480,3.37,1.83,...,...,... dd,-27.12,NYSE American
Avino Silver&Gold Mines,ASM,1.17,1.20,1.15,1.20,0.04,3.44,193651,2.13,1.12,...,...,34.28,-12.42,NYSE American
B2Gold,BTG,2.62,2.69,2.62,2.67,0.05,1.91,3501216,3.55,2.02,...,...,139.06,12.66,NYSE American
Ballantyne Strong,BTN,4.27,4.35,4.25,4.35,-0.05,-1.14,9265,8.10,4.05,...,...,... dd,-45.63,NYSE American
Bancorp of New Jersey,BKJ,17.87,17.90,17.40,17.54,-0.36,-2.03,3844,18.55,11.90,...,...,25.23,36.40,NYSE American
Banro,BAA,0.13,0.16,0.12,0.15,0.03,22.50,5228931,2.10,0.10,...,...,... dd,-92.16,NYSE American
Bar Harbor Bankshares,BHB,27.46,27.82,26.97,26.97,-0.52,-1.89,22030,33.41,25.09,0.75,2.77,17.40,-14.53,NYSE American
Barnwell Industries,BRN,2.12,2.20,2.12,2.16,-0.06,-2.59,9551,2.70,1.56,...,...,... dd,31.70,NYSE American
BG Staffing,BGSF,15.75,15.93,15.75,15.76,-0.11,-0.69,7724,18.84,12.84,1.00,6.35,15.60,1.03,NYSE American
BioPharmX,BPMX,0.12,0.12,0.11,0.11,-0.01,-4.88,2699910,0.90,0.11,...,...,... dd,-70.27,NYSE American
BioTime,BTX,2.41,2.44,2.30,2.33,-0.10,-4.12,507360,3.96,2.19,...,...,5.55,-35.46,NYSE American
BioTime WT,BTX%,0.16,0.20,0.16,0.16,-0.06,-27.33,10533,0.88,0.11,...,...,...,-76.64,NYSE American
Birks Group,BGI,1.65,1.73,1.51,1.64,-0.05,-2.87,10947,2.72,1.01,...,...,11.29,53.27,NYSE American
Blonder Tongue Laboratories,BDR,0.51,0.59,0.51,0.53,-0.00,-0.32,473980,1.29,0.38,...,...,... dd,12.43,NYSE American
Bluerock Residential Growth REIT,BRG,11.03,11.07,10.89,10.90,-0.09,-0.82,139880,14.14,9.68,1.16,10.64,... dd,-20.55,NYSE American
Bovie Medical,BVX,2.80,2.82,2.60,2.62,-0.18,-6.43,119914,4.29,1.87,...,...,... dd,-27.02,NYSE American
Bowl America Cl A,BWLA,14.90,14.93,14.90,14.93,0.23,1.54,530,17.25,13.43,0.68,4.56,29.13,-9.42,NYSE American
Caledonia Mining,CMCL,6.63,6.77,6.57,6.64,0.09,1.37,14759,7.96,4.90,...,...,7.62,16.49,NYSE American
Camber Energy,CEI,0.18,0.18,0.16,0.16,...,1.76,6287881,1.58,0.14,...,...,... dd,-86.97,NYSE American
Can-Fite Biopharma ADR,CANF,1.35,1.36,1.31,1.33,-0.03,-2.21,44878,2.67,1.31,...,...,... dd,-44.12,NYSE American
Castle Brands,ROX,1.30,1.33,1.25,1.25,-0.07,-5.30,596545,2.22,0.65,...,...,... dd,64.47,NYSE American
CCA Industries,CAW,2.90,3.00,2.90,2.95,0.04,1.22,1038,3.81,2.50,0.28,9.49,14.05,13.46,NYSE American
CEL-SCI,CVM,1.79,1.90,1.77,1.90,0.09,5.06,314641,4.58,1.46,...,...,... dd,12.88,NYSE American
CEL-SCI WT,CVM%,0.01,0.02,0.01,0.02,...,42.86,388525,0.09,...,...,...,...,-20.63,NYSE American
Centrus Energy,LEU,4.45,4.55,4.31,4.32,-0.06,-1.37,26892,9.46,3.30,...,...,... dd,-32.29,NYSE American
Chase,CCF,117.70,118.85,116.97,117.25,-0.10,-0.09,8744,129.55,82.85,0.80,0.68,26.29,40.34,NYSE American
Cheniere Energy,LNG,47.51,47.95,47.34,47.70,0.30,0.63,1799893,51.51,40.36,...,...,... dd,15.13,NYSE American
Cheniere Energy Partners,CQP,27.97,28.42,27.58,28.34,0.37,1.32,315350,33.47,26.41,1.76,6.21,... dd,-1.67,NYSE American
Cheniere Energy Partners Holdings,CQH,26.79,27.35,26.79,27.14,0.35,1.31,45404,27.86,21.52,1.80,6.63,339.25,21.32,NYSE American
China Pharma Holdings,CPHI,0.18,0.19,0.17,0.19,0.02,10.94,333001,0.35,0.15,...,...,... dd,-27.46,NYSE American
Cision WT,CISN%,2.56,2.65,2.56,2.60,...,...,2694,3.40,1.86,...,...,...,18.25,NYSE American
CKX Lands,CKX,10.55,10.55,10.49,10.50,...,...,2414,14.10,9.65,...,...,57.00,-4.98,NYSE American
Cohen&Co,COHN,7.83,7.83,7.78,7.79,0.10,1.30,1234,16.30,7.60,0.80,10.27,14.16,-34.54,NYSE American
Command Security,MOC,2.99,2.99,2.87,2.87,-0.05,-1.71,9917,3.43,2.41,...,...,... dd,4.36,NYSE American
Comstock Mining,LODE,0.35,0.35,0.34,0.34,-0.01,-2.46,238547,1.53,0.33,...,...,... dd,-73.76,NYSE American
Condor Hospitality Trust,CDOR,10.00,10.05,9.95,10.05,0.29,2.97,12354,15.47,8.13,0.78,7.76,... dd,-24.20,NYSE American
Consolidated-Tomoka Land,CTO,62.80,63.94,61.21,63.43,0.43,0.68,28167,64.31,49.73,0.20,0.32,15.85,18.74,NYSE American
Contango Oil&Gas,MCF,3.15,3.50,3.01,3.14,0.05,1.62,1022110,10.39,2.22,...,...,... dd,-66.38,NYSE American
Continental Materials,CUO,19.25,19.25,19.23,19.23,-0.17,-0.90,544,30.90,16.80,...,...,18.14,-19.73,NYSE American
Core Molding Technologies,CMT,20.20,20.74,20.20,20.47,0.40,1.99,24186,24.50,14.42,0.20,0.98,23.53,19.64,NYSE American
Corindus Vascular Robotics,CVRS,1.22,1.25,1.12,1.15,-0.07,-5.74,430675,2.25,0.40,...,...,... dd,64.66,NYSE American
CorMedix,CRMD,0.55,0.63,0.55,0.61,0.05,8.28,2041858,2.48,0.32,...,...,... dd,-60.26,NYSE American
CPI Aerostructures,CVU,9.15,9.20,9.10,9.20,0.05,0.55,23332,10.15,5.55,...,...,13.94,-0.54,NYSE American
CRH Medical,CRHM,2.40,2.40,2.30,2.38,-0.02,-1.04,216288,9.25,1.46,...,...,26.39,-54.76,NYSE American
Crystal Rock Holdings,CRVP,0.72,0.76,0.72,0.73,0.01,1.60,16380,1.05,0.69,...,...,46.89,-10.25,NYSE American
CynergisTek,CTEK,4.10,4.10,3.98,4.10,0.03,0.73,8405,6.72,2.36,...,...,6.95,70.83,NYSE American
Daxor,DXR,5.34,5.50,5.34,5.39,-0.06,-1.10,1742,9.20,4.04,0.03,0.56,... dd,-34.61,NYSE American
Delta Apparel,DLA,20.14,20.37,19.83,19.85,0.04,0.20,16473,23.47,15.55,...,...,14.81,-4.25,NYSE American
Denison Mines,DNN,0.57,0.61,0.57,0.61,0.04,6.70,2224769,0.84,0.38,...,...,... dd,18.17,NYSE American
